year,stateabbr,statename,cityname,obesitypercentage,Population2010,latitude,longitude
2014,SD,South Dakota,Sioux Falls,27.9,6493,43.52,-96.68763744
2014,AL,Alabama,Hoover,23.2,5159,33.35,-86.84442787
2014,IA,Iowa,Des Moines,36.4,3448,41.63,-93.54641849
2014,CA,California,Los Angeles,23.2,3498,34.21,-118.6017021
2014,CA,California,San Marcos,22.6,4626,33.14,-117.1298504
2014,CA,California,Whittier,22.8,6529,33.94,-117.9846452
2014,TX,Texas,Austin,,2,30.15,-97.9083325
2014,WI,Wisconsin,Milwaukee,32.8,3773,42.98,-87.92658965
2014,TX,Texas,El Paso,43.8,1552,31.77,-106.4477336
2014,OK,Oklahoma,Tulsa,,47,36.08,-95.84511044
2014,NC,North Carolin,Raleigh,21.3,1469,35.91,-78.62634379
2014,CA,California,San Jose,19.2,2342,37.23,-121.9075991
2014,CA,California,Los Angeles,27.2,2487,34.10,-118.3071514
2014,TN,Tennessee,Memphis,21.4,7200,35.14,-89.88155332
2014,CA,California,Anaheim,18.6,378,33.84,-117.8191307
2014,AR,Arkansas,Little Rock,26.5,7413,34.78,-92.38798091
2014,NY,New York,New York,36.3,5853,40.83,-73.87978056
2014,CO,Colorado,Aurora,23.1,4171,39.68,-104.8194381
2014,TX,Texas,Laredo,42.6,3998,27.50,-99.48687653
2014,MA,Massachusetts,Newton,20.3,3494,42.33,-71.23629526
2014,TX,Texas,San Antonio,38.8,4564,29.37,-98.55769895
2014,CA,California,Downey,25.1,4869,33.94,-118.1579525
2014,CA,California,Fresno,27,4006,36.74,-119.6908956
2014,NY,New York,New York,32.1,2052,40.64,-73.94254992
2014,CA,California,Los Angeles,19,2525,34.03,-118.4420037
2014,IN,Indiana,Fort Wayne,31.6,2795,41.14,-85.12729623
2014,IL,Illinois,Joliet,43.4,3404,41.54,-88.06569688
2014,MN,Minnesota,Rochester,24.5,4491,44.01,-92.49929877
2014,WI,Wisconsin,Milwaukee,48.6,2252,43.11,-87.97141962
2014,NY,New York,New York,34,2656,40.67,-73.91147948
2014,VA,Virginia,Hampton,39.6,6536,37.05,-76.31109407
2014,AZ,Arizona,Tempe,30.5,3232,33.41,-111.9002656
2014,NY,New York,New York,34.9,1250,40.64,-74.17916444
2014,IA,Iowa,Cedar Rapids,34,4846,41.95,-91.67044122
2014,NY,New York,New York,16.3,3359,40.69,-73.99729907
2014,TN,Tennessee,Clarksville,25.9,2121,36.53,-87.30437426
2014,MN,Minnesota,Bloomington,22,6089,44.83,-93.3573705
2014,CA,California,Sacramento,24.9,4794,38.55,-121.44173
2014,PA,Pennsylvania,Reading,40.2,2696,40.35,-75.92788691
2014,NY,New York,New York,20.9,2853,40.62,-74.0304459
2014,IL,Illinois,Chicago,30.5,4117,41.94,-87.73100231
2014,NY,New York,New York,36.2,4325,40.66,-73.90910126
2014,NY,New York,New York,38.7,4797,40.86,-73.89851963
2014,CA,California,Los Angeles,29.4,3712,34.10,-118.2170632
2014,MI,Michigan,Kalamazoo,41.2,74262,42.27,-85.58818858
2014,TX,Texas,Houston,46.7,5880,29.88,-95.42179117
2014,MI,Michigan,Ann Arbor,28.8,2902,42.31,-83.73138663
2014,CA,California,San Jose,18.3,4688,37.33,-121.791643
2014,GA,Georgia,Johns Creek,21.3,5097,34.00,-84.26232091
2014,IL,Illinois,Chicago,33.8,2107,41.91,-87.71009495
2014,CA,California,San Leandro,17.5,6305,37.69,-122.1724941
2014,VA,Virginia,Suffolk,32.5,1455,36.68,-76.80505404
